figure_id,file,purpose
Fig_M1_dynamic_quasistatic_comparison,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_M1_dynamic_quasistatic_comparison.png,"Main figure: dynamic replay under the quasi-static length-command baseline"
Fig_D1a_basic_dynamic_tip_trajectory,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_D1a_basic_dynamic_tip_trajectory.png,"Supplement: same-baseline tip trajectory validation"
Fig_D1b_basic_dynamic_diagnostics,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_D1b_basic_dynamic_diagnostics.png,"Supplement: same-baseline error, force, and velocity diagnostics"
Fig_D2_dynamic_mass_energy_consistency,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_D2_dynamic_mass_energy_consistency.png,"Supplement: mass SPD and geometric-inertia power consistency"
Fig_M4_dynamic_consistency_error_mechanism,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_M4_dynamic_consistency_error_mechanism.png,"Main figure: mass SPD, geometric-inertia power consistency, and energy closure"
Fig_D3_same_baseline_dynamic_stage_comparison,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_D3_same_baseline_dynamic_stage_comparison.png,"Supplement: quasi-static, replay, endpoint shaping, and optimizer comparison"
Fig_D4_dynamic_pareto_and_optimizer,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_D4_dynamic_pareto_and_optimizer.png,"Supplement: duration-error Pareto map and constrained optimizer search"
Fig_M5_optimizer_performance_deepening,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_M5_optimizer_performance_deepening.png,"Main figure: staged dynamic feasibility and optimizer evidence"
Fig_F1_contact_friction_contribution_sensitivity,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_F1_contact_friction_contribution_sensitivity.png,"Supplement: section-drive friction contribution and mu sensitivity"
Fig_F2_friction_aware_redistribution,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_F2_friction_aware_redistribution.png,"Supplement: friction-aware redistribution comparison"
Fig_M6_task_case_error_performance,D:\RodDrindcontinuum\src\3sec\outputs\paper_big_figures\Fig_M6_task_case_error_performance.png,"Main figure: spatial double-ellipse crossing trajectory and actuation diagnostics"
